,Carbon Dioxide,Nitrogen,Methane,Oxygen,Propene,N-propane,Acetylene,Hydrogen,Ethane,Ethene,Water,Xenon,Krypton,Nitric oxide,N-Hexane,Methanol,Ethanol,Sulfur Hexafluoride,Carbon monoxide,Benzene,Argon,Ammonia,Acetone,N-Butane,2-Propanol,1-Propanol,Toluene,N-Pentane,P-Xylene,Sulfur dioxide,Helium,1-butene
ZIF-8,0.7637948164850161,0.1449041184024509,0.31940563272117994,,24.205552528254362,39.94943333825374,0.0015064810518102586,0.03622760147156922,2.35581212896323,1.524489333520541,0.6283071403470153,,,,,3.218940085638354,,,0.12322912723284343,,,1.0770907795013434,,,,,,,200.46006859561967,22.948549912692616,,
Zeolite 5A,89.66731353133451,0.5395998031301603,0.8934989870552532,0.11863577085367825,245.56009593976015,229.94318079106577,,,8.079139083457873,5.1281414972998425,132545.9868881572,,,,,,,,1.4967011294828862,,,1113.6985631393873,,449.6186777220157,,,,,,,0.0005924660781788216,177.5266594241363
Carbon,2.3073212741442752,0.32760586616724163,0.5062787745787094,0.20658077073160275,,,,0.057261297256705077,4.0638164265654995,25.545439829832212,21.564878022514606,11.828042642292937,2.6118471188007097,,1103.3868183065208,854.5499131715262,,,0.4614977424967996,,1.1948767362319261,1.47386700890088,1042.2069824271116,,,,,,,,,
MIL-53(Al),1.499942367695381,0.22536303351140907,0.7604173368280503,0.18296011752124425,,,,,,,,,,,,,,,0.30512161797259096,,,352.1620617441967,,,,,,,5929.9473983287135,,,
CuBTC,5.173708294005175,0.31980652004513066,0.8905104261043175,0.33044257262207966,672.7453391041025,152.87732502125218,53.408752059684325,0.050018603393170616,0.838235724820496,53.21875919301765,3538.2262859739308,5.584651998633968,,13.257863482446,4723.570601468684,2877.014621498403,6200.118107179734,,0.9873556132471782,519.4378269683439,0.29020466811630663,1552.271583819951,5011.403127385231,2.9391280970285476,,,,20578.763160329145,,50.78097166705237,,
MOF-505,5.390283964500921,,1.531123812515817,,,,30.243870371038163,0.08057026194632409,,,,2.6889546291088053,1.19662018817428,,,,,,,,,,,,,,,,,258.62512750818286,,
IRMOF-1,1.659815252478762,0.2174287590333894,0.4344132905035521,,,,1.2865644964245344,0.03900651003533645,6.5558450261518315,,0.7675188373979722,0.9150697326072624,0.49799839591409645,0.17543539033384606,,,,,0.23547421029199658,54.5300386956827,0.19442222052044297,93.59912913731313,,,,,,,,0.7359383047189118,,
UiO-66,2.5431421578701707,0.2107730055175328,0.5949884365042815,0.14143655076969017,,39.18301631476348,,0.023972841369237018,0.8676595902748835,,1691.4223436575596,,,,33.328599988335625,,,15.417211054695496,0.2483472224132383,23.03536461730304,,,,,,,,,,,,
Zeolite Na-A,311.92703255370486,,1.072150130258467,,,,,0.029000746451418563,,,89503.60529441418,,,,,,130161.82524625528,,,,,,,,,,,,,,,
ZSM-5,,,,,5853.983942533296,303.270486098512,,0.05594670419489868,,,33.32319857592391,,,,,,,,,,,,,231.68560265220623,,,,,,,,51.82762029568114
Zeolite NaX,110.59235799668134,,0.26759096211459865,,,374.2694599461969,,0.6497737561670055,21.57826209921872,286.63011701494077,,,,,,,,38.64652291192344,,,,,,,,,,,,,,
MIL-47,3.6447478192646035,0.5221018629450316,1.1470690491925981,,,,,,,,1.6209954176003991,,,,,,,,0.2768382336628067,,,,,,,,,,,60.777848519214345,,
MIL-53(Cr),1.3283671707967204,0.16093565183621764,0.08498378704539299,0.19281215281583708,,0.07780571059095068,,,0.01505827900527191,,,,,,,120.74160788176933,439.9844480735724,,,,0.1766639033805089,,,0.13976733786922993,,,,,,,,
MOF-177,1.5990323537336477,0.19148085475719717,0.43007198334245844,0.17796337220937153,,,,0.07183688207338175,,,35411.20932430084,,,0.3572647659979313,,,,,0.31368578294891536,,,201.23615786785737,,,,,,,,1.756585949180913,,
Activated Carbon,4.225305862591053,0.35025082770174076,1.0222909949686674,,,85.70035062255474,,0.05243668916769609,10.035858760520522,,,,,,3867.5883146791034,,2913.819312403767,,,22166.479378936303,,,,,,,77987.7484204036,3644.3741765963664,,,0.0013175325234706873,
Na-Rho-ZMOF,7.987355845778827,,0.11455091884656926,,,,,,,,9390.459895251062,,,,,3560195.280615681,155232.5797546704,,,,,,,,,,,,,,,
Zeolite MFI,1.797914625725572,0.17584206358262214,1.2248348040994146,,139.00516578846555,200.81769522533222,,,26.889889084951534,,1564.066198538487,,,,,,,,,,,,,1361.477161895096,,,,9570.929555354283,,,,
Silicalite MFI,,0.34083086251190325,0.9065398385646122,0.36961970713583703,,167.16773119627356,,,0.004090673837962407,21.873392271229402,5.766782066420335,,,,31.899103000095565,,2580.742463295991,,,337.20147565832644,0.29693478974307297,,,1628.9888791019393,,,,,,,0.007402136846692914,
Zeolite 13X,41.46314302455624,0.36002437987824454,0.6834753376779487,,,,,0.032641919061017315,,,140490.3882666725,,,,,,,19.88815222177083,0.8972548997052694,,,708.9256992039541,,,,,,,,,0.0006116601099768605,
MIL-101,1.5649531423761938,0.28580053336420397,0.34053163364055106,,,,,0.054649054969591444,2.7523876946319654,2.1577392956445935,2990.4519580423726,,,,,,,,0.31790408340460274,,,,,,,,2249.8883049105443,,39866.63640829215,,,
COF-105,1.2393200402722309,,0.6142213892416837,,,,1.019074371610138,0.2510556377948673,,,,,,0.3583629458543732,,,,,0.29642973335716494,,,,,,,,,,,,,
COF-108,1.8863880291167554,,0.6350102509242108,,,,1.2924077329550063,0.24604571156415367,,,,,,0.2536271661408443,,,,,0.33178358854654777,,,,,,,,,,,,,
[Co2(ndc)2(bpy)],0.46905828722364623,,0.1508347738526744,,,1.6442037197623744,,,0.49634740726277116,,,,,,,,,,,,,,,1.2955635251251136,,,,,,,,
Y-ftw-MOF-2,1.1042858477832478,,0.5182080394806805,,,35.838554732521246,,,3.9763670510184177,,,,,,,,,,,,,,,406.8678769180446,,,,,,,,
MCM-41,0.3983592431117512,0.07164402129259159,0.10572086061016797,0.06174123492989887,,,,0.011591542731007052,,,,0.13613168295581854,0.06760321556438956,,,,,,,,0.04382875490560532,150.69158653322853,,,,,,,,,,
TetZB,,,,,,,,,,,60.370864592013625,,,,46.860321688717484,182.87628328625922,493.5169230828014,,,,,,,6.082032210953434,149.49127594207195,682.3788724183737,,51.705494670870756,,,,
eea-MOF-5,8.01441927724483,116.40254084168184,0.892809156504966,,,232.625740352097,,,23.088067970638374,,,,,,,,,,,,,,,,,,,,,,,
Cr-MIL(101),1.7402356552243046,0.12181311612549989,0.37948368923325737,,,,,0.07416421742054784,,,,,,,7.62246810360348,1186.1464393615383,2680.3447165578327,,3.7505978495360015,,,,,,,,,3.5422692422331687,,,,
tbo-MOF-3,4.452680200529866,,0.45921634237680387,,32.03615617893363,27.564548591658586,,,10.285359032299947,7.2735611478023765,,,,,,,,,,,,,,,,,,,,,,
tbo-MOF-2,3.0346638426849863,,0.592777068383642,,44.11370284216878,47.04362325942028,,,6.712912868714389,8.388750300988617,,,,,,,,,,,,,,,,,,,,,,
NH2-MIL-53(Al),0.746236531556438,0.03915838325957044,0.41205036916212356,,,0.10592353912397112,,0.1024962392543009,1.5266481794008027,,,,,,,,,,,,,,,,,,,,,,,
Mg-MOF-74,53.45745489255194,1.1796623575276621,1.3846746548996705,,257.0741092391538,214.35652254613345,,0.5607837496303106,21.75365106755938,98.27545632940797,31583.221050031545,,,,,,,31.019743395840713,,,,92.10659074101581,,,,,,,,,,
Cu-TDPAT,4.77286831807304,0.348613787826433,0.8395890790679478,0.3260582133877096,,,,0.10103328582438816,,,1059.5183659151332,,,,,,,,0.9619772235837283,,,,,,,,,,,,,
Zn-MOF-74,11.416182887264068,0.7060249964352386,1.065113136931594,,,,,0.025670344912343164,,,6100.045769717822,,,,,,,18.871671924574077,,,,,,,,,,,,,,
UTSA-16,32.41562782747939,0.1487478230043783,0.5082560737605373,,,,,0.01569255670716946,,,,,,,,,,,0.2422293778431872,,,,,,,,,,,,,
FIR-51,5.300579581829796,,0.9154083450799263,,,194.12701564212665,24.25809892797073,,17.103594775266313,13.04985934656445,,,,,,,,,,,,,,,,,,,,,,
Zn(II)-MOF [Zn(HPylmDC)(DMA)]n,,,,,,,,,,,36.66546584539375,,,,,37.83158830808367,13.796099279853902,,,,,,,,7.018213732555693,20.229728808214702,,,,,,
Cd (II)-MOF [Cd(L)(DMF)],5.151807158383399,0.34240891983459093,0.8722971817761628,,,,,,,,55.00547807466711,,,,,351.4076396440751,,,,,,,,,2.775937060546378,,,,,,,
CPO-27-Ni,38.18943244756243,1.389094042797802,1.0961853535303212,,340.27354310794647,137.342174655136,,0.03957437619565368,23.092453439415767,101.10363296796336,63836.85155213816,5.807323871075634,1.099417586047415,600.8322755231356,,,2605.7557800025825,,,,,,,,,,,,,,,
UiO-66-NH2,4.1918841554706905,0.20815350739528332,1.0117365487995338,,,,,,,,1974.6129918114339,,,,,,,,0.31510161155135213,,,,,,,,,,,,,
MIL-53(Fe),3.8678670689119445,,0.1008041710987708,,,3.830099614152243,,,0.361353879467855,,,,,,,,,,,,,,,40.10261389233254,,,,,,,,
[Cu3(TDPAH)(H2O)3] 13H2O 8DMA,9.186041585552797,0.39970531688301886,1.1439749593549418,,,,29.28538937694425,,12.090677027007704,20.213030259956632,,,,,,,,,,,,,,,,,,,,,,
MOF-74-Co,14.555166204558704,186.96462287820938,0.9600820419134961,,,,,0.03864823457654342,34.87437268922737,286.90570761787075,,10.377524880140804,15.313059880535778,,,,,33.60067484544904,,,,,,,,,,,,,,
Co3(HCOO)6,0.13553241307672842,,0.021481494997133137,,,,,0.019623946103461333,,,,14.76450741748552,1.0579928465579942,,,311.43102891619463,,,,,0.14785441598504045,,,,,924.6349864263362,608.9164069394647,,291.6565320696631,,,
Cu-MOF,3.717526850899875,0.16596873171971324,0.9353294314167506,,,,,0.10432435893866497,,,663.8812094854949,,,,,,,,,,,,,,,,,,,,,
NU-125,4.1151595915441375,0.318608041115606,0.8896637844179892,0.3186746406074773,,,,0.0849736322942828,,,,,,,,,,,,,,,,,,,,,,,,
