,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K,VXNZUUAINFGPBY-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.6455924482820107,0.14572503314057744,0.2632486753145945,,11.129365017364194,13.955501947667539,0.0015064637697365575,0.037949584329475566,,,,2.1836736650646262,,1.1752785483040817,,,0.11997002715617533,,,,2.259475965368911,1.3701766553718908,0.2279385708267645,,,,,,,,184.5151136902568,14.39346466173049,,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,57.73012800553123,0.591069014469267,0.8972305361826118,0.10704815143287033,52.095266272189356,28.917304189435338,,,,,,23208.009533261626,,,,,1.0947022403182578,,,,0.649370089814945,3.1194912232697365,55.67547930916395,,73.78011748437692,,,,,,,,0.0002708333333333333,20.285790415661243
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,1.8413910317842714,0.3677925627641879,0.37221012936130987,0.22014419855155543,,,,0.04834520654211028,18.82062765468583,3.201060365291746,,2.247480985987991,306.0353373393421,617.7963332119502,,,0.4570231056480473,,,1.0962253736314156,4.872550882125714,43.03174955595027,1.4094536334620305,530.8652386285634,,,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,2.3545269754008946,0.2532722513089005,0.6944064755408529,0.012683198516053774,,,,,,,,,,,,,0.16280460581910156,,,,,,197.29626703326397,,,,,,,,2550.136880763233,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,4.538466502803834,0.29073634874003795,0.6659648469012412,0.2847021441738624,338.9061065094951,39.404222621946886,86.77465759200412,0.03478132807038448,20.891915656329356,,15.100742783298518,2244.8047254618004,418.2528294517699,2115.678257806809,1421.5223849410527,,1.0200156323597471,,47.50649630763227,0.27776921941235977,0.38190281961088424,40.00603562411219,603.2859179506409,3535.826296743064,0.49120209008607446,537.8754100087697,,,,7836.585365853658,,21.673068206390663,,
NIST-MATDB-9f02824618e94d86caedc9fb497366ba,0.2779084738085877,,0.0036699956107023347,,,,11.184831306903309,0.04954987907077624,,,,,,,,,,,,,,,,,197.27753269948704,,,,,,,,,
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,3.0402781018151277,,14.129263708050614,,,,55.91815971670542,0.0783938133808888,1.280179348542793,0.8970249256972599,,,,,,,,,,,,,,,,,,,,,,48.762227285366265,,
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,0.9275819342865076,0.20521650413455458,0.3281051153531691,,,0.1411613221587642,1.1566739465803118,0.06226248611771405,2.7044630478831184,0.82692758878106,0.171597735029446,0.16638665466262942,,,,,0.20444049558221036,,13.312810519551972,0.16998593718624433,0.09474774016343955,,37.41280756115851,,,,,,,,,1.6958283107651653,,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.7535462789672898,0.219716908036917,0.6952291801945082,0.12731111789681243,,,,0.015375306195670613,,,,449.4543611240844,8.734858198212375,,,,0.23409344845622454,,8.54767311788497,,,,,,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,202.58170943782605,,1.0278112335621536,,,,,0.027665954002310245,,,,28511.059190031152,,,4510.926434527767,,,,,,,,,,,,,,,,,,,
NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,,,,,4009.3495701116717,225.10042449963655,,0.01581140574867369,,,,52.073152866575285,,,,,,,,,,,,,11.385447219949718,,,,,,,,,17.09599027946537
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,97.26821242571556,,0.3153532608695652,,,198.89116232064492,,0.7023001336705088,,,,,,,,32.474909113267955,,,,,14.309629279443843,178.98383266739688,,,,,,,,,,,,
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,3.2218331386574963,0.4582299656945752,0.9457253297597324,,,,,0.042189854191980555,,,,0.6152930734080674,,,,,0.27007833609501275,,,,,,,,,,,,,,,31.687479508792023,,
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,2.0635376126813894,0.2817284060949998,0.4708097928436912,0.2023275239483285,,0.049114014628536824,,,,,,5.257057645425005,,103.53536405964107,249.50285416173122,,,,,0.21187144903533556,0.012178419916515155,,,,0.07206951849808993,,,,,,,,,
NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,0.8525076946546565,0.1875028211883102,0.3801743247765597,0.17266203439570066,,,,0.06421240487700797,,,0.33098118865289994,7960.602579527184,,,,,0.47855181360466514,,,,,,351.6828400893365,,,,,,,,,4.373258789554913,,
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,12.559537277972622,0.20986045055842678,0.6258979274697303,,,79.01977605790911,,0.03543258491869422,,,,400.8521474162836,1209.2331318125523,,2033.4106292756576,,,,3258.068566071847,,8.846635974614902,,,,,,,,6429.41056910569,1890.783817426829,,,0.001736842105263158,
NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,2.493887816890039,,0.0425339185474036,,,,,,,,,876.1783051671416,,617.5568030141799,577.3189264171037,,,,,,,,,,,,,,,,,,,
NIST-MATDB-aab7f4d547e6752b772d6f12520fde3b,1.5569845280529415,0.15334949926966882,1.1263765287077607,,24.429062100257603,11.952976437176686,,,,,,64.14711580028437,,,,,,,,,18.42518209710284,,,,55.138012134522775,24.649495355703117,,,,2051.221879926529,,,,
NIST-MATDB-5d0728ebc1e0053aa120288307a704c8,,0.14503440937395717,0.8012146209502332,0.132870738835867,,23.547276685846903,,,,,,8.641187399794026,2.506244729449274,,134.31418188892673,,,,497.5892552430502,0.15870953069236396,0.00011579970609443315,1.2323506575075542,,,27.95262121097534,0.45386733533312495,,,,,,,0.006707658354424171,
NIST-MATDB-f55cae58cff61d336d8b65bece21175f,2.3351831376867547,0.11662329484005939,0.359408578850197,,,,,0.07757954192949564,,,,77.67742969324051,,,,,0.5677554413991746,,,,6.719705408784227,3.2054682417499034,,,,,,,1157.9488893865291,,22865.256829804937,,,
NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,1.4900839020068242,,0.5949672761740366,,,,1.015102261406912,0.22280074078505885,,,0.3572978583594766,,,,,,0.2937188775509061,,,,,,,,,,,,,,,,,
NIST-MATDB-297c8ffe0f482757db45335130e02770,0.9051474831115063,,0.5953152371070136,,,,1.292393186037471,0.21681816755317448,,,0.252131644690084,,,,,,0.3218281163657592,,,,,,,,,,,,,,,,,
NIST-MATDB-1f9d4e4fac6d97c9f29f5f996ab9f08d,0.6383873646318411,,0.42377411372588625,,,3.7196316737876955,,,,,,,,,,,,,,,0.36132268286099384,,,,2.197784086263492,,,,,,,,,
NIST-MATDB-0fda178e19926b1dd1cb87d13b6c9b8f,1.104253879205621,,0.5688450130681206,,,18.31791033773126,,,,,,,,,,,,,,,2.9974155717877466,,,,182.660725831389,94.42222222222223,,,,,,,,
NIST-MATDB-2f391b46b4e3f7747db4ad7bba0ccbfd,0.5140368018501393,0.11826550624333272,0.1320642219539075,0.06747651980852984,,,,0.010043708040147998,,,,330.48142920371146,,,,,,,,,,,171.69693953719832,,,,,,,,,,,
NIST-MATDB-90c6a1887a5e0f522854022bac0600a2,,,,,,,,,,,,77.52952838884728,80.8478801822783,165.22721092506953,323.21129568633967,,,,,,,,,,66.16721006998412,,433.76289450689166,616.1271066870113,,142.50793801491608,,,,
NIST-MATDB-bbd4c0c32dbd9f7b1df341984b71983f,6.258261829017808,179.6837565884044,0.8928085595490644,,,179.6837565884044,,,,,,,,,,,,,,,25.32791777188329,,,,,,,,,,,,,
NIST-MATDB-e23e0f3921a269533d74caae8c5a12bf,1.9513131830370978,0.09712040011679032,0.4181883939486143,,,,,0.1021288649146402,,,,161.31896608717022,3.5315731945421414,,1806.5983847384623,,4.5056032946580595,,,,,,,,,,,,,1.2131026999795778,,,,
NIST-MATDB-775250b0154475da1a9521dd991a76d6,7.24258018106058,424.65242047335687,0.8695127443721569,,106.70976080802428,69.2590743190738,,0.03407163817748366,1.339648010425335,0.7892407369274284,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-6f2de59bc9a4aafa57769c230fce91ab,3.7637790742962944,,0.14283629372260737,,11.20884862715967,9.50013644219399,,,,,,,,,,,,,,,8.009594824277647,6.638547952072244,,,,,,,,,,,,
NIST-MATDB-19f0b99c8dbe789defa47a66736fe641,1.9851553414716292,,0.41809648789631176,,21.413092013409035,19.342927051250765,,,,,,,,,,,,,,,4.932593858712552,8.987171521508715,,,,,,,,,,,,
